source_val,spec1,spec2,spec3,spec4
A,Popu trem,Spec unkn,Spec unkn,Spec unkn
BW,Betu papy,Popu spp.,Popu spp.,Popu spp.
SW,Pice glau,Popu trem,Popu trem,Popu trem
SB,Pice mari,Betu papy,Betu papy,Betu papy
PL,Pinu cont,Abie lasi,Abie lasi,Abie lasi
PJ,Pinu bank,Abie bals,Abie bals,Abie bals
F,Abie lasi,Pseu menz,Pseu menz,Pseu menz
L,Lari lari,Lari lyal,Lari lyal,Lari lyal
PO,Popu balb,Lari lari,Lari lari,Lari lari
SA,Sali spp.,Lari occi,Lari occi,Lari occi
AL,Alnu spp.,Pinu spp.,Pinu spp.,Pinu spp.
S,Pice spp.,Pinu albi,Pinu albi,Pinu albi
AW,Popu trem,Popu balb,Popu balb,Popu balb
LW,Lari lari,Pinu flex,Pinu flex,Pinu flex
PB,Popu bals,Pinu bank,Pinu bank,Pinu bank
AB,Abies spp.,Pinu cont,Pinu cont,Pinu cont
BG,Uncl spp.,Pice mari,Pice mari,Pice mari
BS,Pice mari,Pice enge,Pice enge,Pice enge
PB,Popu bals,Pice glau,Pice glau,Pice glau
P,Pinu spp.,Betu papy,Betu papy,Betu papy
XX,Uncl spp.,Sali spp.,Sali spp.,Sali spp.
