source_val,productivity_type,productivity
1,HARVESTABLE,PRODUCTIVE_FOREST
2,HARVESTABLE,PRODUCTIVE_FOREST
4,HARVESTABLE,PRODUCTIVE_FOREST
5,HARVESTABLE,PRODUCTIVE_FOREST
6,HARVESTABLE,PRODUCTIVE_FOREST
8,HARVESTABLE,PRODUCTIVE_FOREST
9,HARVESTABLE,PRODUCTIVE_FOREST
01,HARVESTABLE,PRODUCTIVE_FOREST
02,HARVESTABLE,PRODUCTIVE_FOREST
04,HARVESTABLE,PRODUCTIVE_FOREST
05,HARVESTABLE,PRODUCTIVE_FOREST
06,HARVESTABLE,PRODUCTIVE_FOREST
08,HARVESTABLE,PRODUCTIVE_FOREST
09,HARVESTABLE,PRODUCTIVE_FOREST
10,HARVESTABLE,PRODUCTIVE_FOREST
11,HARVESTABLE,PRODUCTIVE_FOREST
13,HARVESTABLE,PRODUCTIVE_FOREST
14,HARVESTABLE,PRODUCTIVE_FOREST
15,HARVESTABLE,PRODUCTIVE_FOREST
16,HARVESTABLE,PRODUCTIVE_FOREST
17,HARVESTABLE,PRODUCTIVE_FOREST
20,HARVESTABLE,PRODUCTIVE_FOREST
21,HARVESTABLE,PRODUCTIVE_FOREST
22,HARVESTABLE,PRODUCTIVE_FOREST
30,HARVESTABLE,PRODUCTIVE_FOREST
31,HARVESTABLE,PRODUCTIVE_FOREST
32,HARVESTABLE,PRODUCTIVE_FOREST
36,HARVESTABLE,PRODUCTIVE_FOREST
37,HARVESTABLE,PRODUCTIVE_FOREST
41,HARVESTABLE,PRODUCTIVE_FOREST
42,HARVESTABLE,PRODUCTIVE_FOREST
44,HARVESTABLE,PRODUCTIVE_FOREST
45,HARVESTABLE,PRODUCTIVE_FOREST
46,HARVESTABLE,PRODUCTIVE_FOREST
48,HARVESTABLE,PRODUCTIVE_FOREST
49,HARVESTABLE,PRODUCTIVE_FOREST
50,HARVESTABLE,PRODUCTIVE_FOREST
51,HARVESTABLE,PRODUCTIVE_FOREST
53,HARVESTABLE,PRODUCTIVE_FOREST
54,HARVESTABLE,PRODUCTIVE_FOREST
55,HARVESTABLE,PRODUCTIVE_FOREST
56,HARVESTABLE,PRODUCTIVE_FOREST
57,HARVESTABLE,PRODUCTIVE_FOREST
58,HARVESTABLE,PRODUCTIVE_FOREST
60,HARVESTABLE,PRODUCTIVE_FOREST
61,HARVESTABLE,PRODUCTIVE_FOREST
62,HARVESTABLE,PRODUCTIVE_FOREST
70,HARVESTABLE,PRODUCTIVE_FOREST
71,HARVESTABLE,PRODUCTIVE_FOREST
72,HARVESTABLE,PRODUCTIVE_FOREST
77,HARVESTABLE,PRODUCTIVE_FOREST
80,HARVESTABLE,PRODUCTIVE_FOREST
81,HARVESTABLE,PRODUCTIVE_FOREST
82,HARVESTABLE,PRODUCTIVE_FOREST
84,HARVESTABLE,PRODUCTIVE_FOREST
85,HARVESTABLE,PRODUCTIVE_FOREST
86,HARVESTABLE,PRODUCTIVE_FOREST
87,HARVESTABLE,PRODUCTIVE_FOREST
88,HARVESTABLE,PRODUCTIVE_FOREST
90,HARVESTABLE,PRODUCTIVE_FOREST
91,HARVESTABLE,PRODUCTIVE_FOREST
92,HARVESTABLE,PRODUCTIVE_FOREST
93,HARVESTABLE,PRODUCTIVE_FOREST
94,HARVESTABLE,PRODUCTIVE_FOREST
95,HARVESTABLE,PRODUCTIVE_FOREST
96,HARVESTABLE,PRODUCTIVE_FOREST
97,HARVESTABLE,PRODUCTIVE_FOREST
98,HARVESTABLE,PRODUCTIVE_FOREST
99,HARVESTABLE,PRODUCTIVE_FOREST
9B,HARVESTABLE,PRODUCTIVE_FOREST
9E,HARVESTABLE,PRODUCTIVE_FOREST
701,TREED_MUSKEG,NON_PRODUCTIVE_FOREST
702,TREED_MUSKEG,NON_PRODUCTIVE_FOREST
703,TREED_MUSKEG,NON_PRODUCTIVE_FOREST
704,TREED_MUSKEG,NON_PRODUCTIVE_FOREST
711,TREED_ROCK,NON_PRODUCTIVE_FOREST
712,TREED_ROCK,NON_PRODUCTIVE_FOREST
713,TREED_ROCK,NON_PRODUCTIVE_FOREST
721,ALDER,NON_PRODUCTIVE_FOREST
722,ALDER,NON_PRODUCTIVE_FOREST
723,ALDER,NON_PRODUCTIVE_FOREST
724,SCRUB_SHRUB,NON_PRODUCTIVE_FOREST
725,SCRUB_SHRUB,NON_PRODUCTIVE_FOREST
731,PROTECTION_FOREST,NON_PRODUCTIVE_FOREST
732,PROTECTION_FOREST,NON_PRODUCTIVE_FOREST
733,PROTECTION_FOREST,NON_PRODUCTIVE_FOREST
734,PROTECTION_FOREST,NON_PRODUCTIVE_FOREST
