gr_ess,species_1,species_1_per,species_2,species_per_2,species_3,species_per_3
BB,Betu papy,80,Hard unkn,20,,
BB1S,Betu papy,51,Abie pice,25,Hard unkn,24
BBBB,Betu papy,100,,,,
BBBBE,Betu papy,65,Pice spp,35,,
BBBBPG,Betu papy,65,Pinu bank,35,,
BBBBR,Betu papy,65,Soft unkn,35,,
BBBBS,Betu papy,65,Abie pice,35,,
BBE,Betu papy,65,Pice spp,35,,
BBPE,Betu papy,65,Popu spp,35,,
BBPEE,Betu papy,51,Popu spp,25,Pice spp,24
BBPER,Betu papy,51,Popu spp,25,Soft unkn,24
BBPES,Betu papy,51,Popu spp,25,Abie pice,24
CE,Thuj occi,65,Pice spp,35,,
EBB,Picea spp.,65,Betu papy,35,,
EE,Pice spp,100,,,,
EFI,Pice spp,65,Hard into,35,,
EME,Pice spp,65,Lari lari,35,,
EPE,Pice spp,75,Popu spp,25,,
EPG,Pice spp,65,Pinu bank,35,,
ES,Pice spp,65,Abie pice,35,,
FI,Hard into,100,,,,
FIR,Hard into,65,Soft unkn,35,,
FNC,Hard nonc,100,,,,
FX,Hard unkn,100,,,,
MEE,Lari spp,65,Pice spp,35,,
MEME,Lari spp,100,,,,
MES,Lari spp,65,Abie pice,35,,
MF,Hard unkn,65,Soft unkn,35,,
MR,Soft unkn,65,Hard unkn,35,,
MX,Soft unkn,51,Hard unkn,49,,
PEBB,Popu spp,65,Betu papy,35,,
PEBBE,Popu spp,51,Betu papy,25,Pice spp,24
PEBBR,Popu spp,51,Betu papy,25,Soft unkn,24
PEBBS,Popu spp,51,Betu papy,25,Abie pice,24
PEE,Popu spp,65,Pice spp,35,,
PEPE,Popu spp,100,,,,
PEPEE,Popu spp,80,Pice spp,20,,
PEPEPG,Popu spp,80,Pinu bank,20,,
PEPER,Popu spp,80,Soft unkn,20,,
PEPES,Popu spp,80,Abie pice,20,,
PGE,Pinu bank,65,Pice spp,35,,
PGFI,Pinu bank,65,Hard into,35,,
PGPG,Pinu bank,100,,,,
RBB,Soft unkn,65,Betu papy,35,,
RE,Picea spp.,35,Soft unkn,35,Soft unkn,30
RFI,Soft unkn,65,Hard into,35,,
RPE,Soft unkn,65,Popu spp,35,,
RPG,Pinu bank,35,Soft unkn,35,Soft unkn,30
RS,Soft unkn,100,,,,
RX,Soft unkn,100,,,,
SBB,Soft unkn,65,Betu papy,35,,
SC,Abie spp,65,Thuj occi,35,,
SE,Abie spp,65,Pice spp,35,,
SFI,Abie Pice,65,Hard into,35,,
SME,Abie spp,65,Lari lari,35,,
SPE,Abie pice,65,Popu spp,35,,
SS,Abie spp,100,,,,
